mysql> SELECT * FROM gs_ruby.users WHERE gender='female';
+----+--------+------+---------------------+---------------------+
| id | gender | age  | created_at          | updated_at          |
+----+--------+------+---------------------+---------------------+
|  2 | female |   37 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
|  3 | female |   20 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
|  5 | female |   12 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
|  7 | female |   62 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 11 | female |   64 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 12 | female |   98 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 13 | female |   69 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 14 | female |   30 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 16 | female |   55 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 17 | female |   96 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 19 | female |   63 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 20 | female |   16 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 21 | female |   75 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 23 | female |   11 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 24 | female |   13 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 28 | female |   87 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 29 | female |   43 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 31 | female |   97 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 32 | female |   97 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 33 | female |    0 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 35 | female |    2 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 36 | female |   78 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 38 | female |   57 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 39 | female |   47 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 40 | female |   34 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 42 | female |   15 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 44 | female |   44 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 45 | female |   81 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 47 | female |   73 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 48 | female |   50 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 49 | female |   89 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
| 50 | female |    6 | 2018-08-02 04:44:55 | 2018-08-02 04:44:55 |
+----+--------+------+---------------------+---------------------+
32 rows in set (0.00 sec)
